"",Є,І,Ї,А,Б,В,Г,Д,Е,Ж,З,И,Й,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,Щ,Ь,Ю,Я
Є,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0022,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
І,0.0022,0.0,0.0022,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0086,0.0,0.0043,0.0043,0.0022,0.0,0.0043,0.0,0.0022,0.0022,0.0043,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ї,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
А,0.0086,0.0,0.0,0.0,0.0043,0.0065,0.0022,0.0108,0.0,0.0,0.0022,0.0,0.0043,0.0022,0.0022,0.0043,0.0,0.0,0.0,0.0065,0.0022,0.0022,0.0,0.0,0.0086,0.0022,0.0022,0.0022,0.0,0.0,0.0,0.0
Б,0.0,0.0022,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0022,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
В,0.0,0.0194,0.0,0.0108,0.0,0.0,0.0,0.0,0.0022,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0108,0.0,0.0,0.0108,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Г,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0086,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Д,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0065,0.0,0.0022,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043
Е,0.0,0.0,0.0,0.0,0.0,0.0022,0.0022,0.0022,0.0,0.0022,0.0043,0.0,0.0043,0.0,0.0,0.0065,0.0108,0.0,0.0108,0.0194,0.0129,0.0065,0.0,0.0,0.0,0.0,0.0043,0.0,0.0022,0.0,0.0,0.0
Ж,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0043,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
З,0.0,0.0043,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0022,0.0022,0.0,0.0,0.0,0.0,0.0,0.0022,0.0043,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0
И,0.0022,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0065,0.0,0.0108,0.0,0.0,0.0022,0.0108,0.0108,0.0,0.0022,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Й,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0022,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0022,0.0,0.0,0.0022,0.0,0.0043,0.0,0.0,0.0,0.0,0.0
К,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0022,0.0,0.0,0.0,0.0043,0.0,0.0022,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Л,0.0,0.0065,0.0,0.0022,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0
М,0.0,0.0,0.0,0.0022,0.0,0.0022,0.0,0.0022,0.0022,0.0,0.0022,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0022,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Н,0.0,0.0086,0.0,0.0129,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151,0.0,0.0,0.0022,0.0022,0.0,0.0022
О,0.0,0.0,0.0022,0.0,0.0065,0.0065,0.0065,0.0086,0.0,0.0,0.0,0.0,0.0,0.0022,0.0065,0.0022,0.0237,0.0,0.0,0.0065,0.0043,0.0022,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
П,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0022,0.0,0.0,0.0022,0.0,0.0,0.0022,0.0,0.0043,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Р,0.0,0.0022,0.0,0.0086,0.0,0.0151,0.0,0.0,0.0022,0.0,0.0,0.0108,0.0,0.0,0.0022,0.0,0.0022,0.0086,0.0,0.0022,0.0,0.0043,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
С,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0022,0.0,0.0,0.0022,0.0,0.0,0.0022,0.0,0.0,0.0172,0.0043,0.0,0.0,0.0065,0.0022,0.0,0.0022,0.0022,0.0,0.0,0.0022,0.0065,0.0,0.0043
Т,0.0,0.0022,0.0,0.0151,0.0,0.0043,0.0,0.0,0.0151,0.0,0.0,0.0151,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0,0.0
У,0.0,0.0,0.0,0.0,0.0,0.0043,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0022,0.0,0.0022,0.0022,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ф,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Х,0.0,0.0,0.0,0.0043,0.0,0.0022,0.0,0.0022,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0
Ц,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043
Ч,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ш,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Щ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ь,0.0,0.0,0.0,0.0,0.0,0.0022,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0022,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0022
Ю,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Я,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0043,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0043,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0
